target_year,rank,feature,importance
2002,1,matchup_Personal Fouls per Defensive Play,0.0338682161499984
2002,2,matchup_Personal Fouls per Possession,0.03308674729621601
2002,3,matchup_Assist / Turnover Ratio,0.030220293162788403
2002,4,matchup_Floor %,0.024784863043877097
2002,5,matchup_Offensive Efficiency,0.02278248496928753
2002,6,matchup_Opponent Steals per Defensive Play,0.022551499953525487
2002,7,matchup_Opponent Free Throws Attempted per Offensive Play,0.02104095880583977
2002,8,matchup_Opponent Offensive Rebounding %,0.019460728064130687
2002,9,matchup_Turnovers per Offensive Play,0.019405982575724817
2002,10,matchup_Opponent FTA per FGA,0.01919988076568982
2002,11,matchup_Defensive Rebounding %,0.01906224946332578
2002,12,matchup_Opponent Percent of Points from Free Throws,0.018816645634409407
2002,13,matchup_Opponent Steals per Possession,0.018422180851771736
2002,14,matchup_Opponent Free Throws Made per 100 Possessions,0.0183263468007177
2002,15,matchup_Personal Fouls per Game,0.017888767358008775
2003,1,matchup_Personal Fouls per Game,0.028455411869074427
2003,2,matchup_Personal Fouls per Defensive Play,0.02711948199955597
2003,3,matchup_Personal Fouls per Possession,0.026414583080978372
2003,4,matchup_Opponent Offensive Rebounding %,0.025523896881228622
2003,5,matchup_Opponent Free Throws Attempted per Offensive Play,0.02533918116556085
2003,6,matchup_Defensive Rebounding %,0.024868531381892704
2003,7,matchup_Opponent FTA per FGA,0.02458748614936598
2003,8,matchup_Opponent Steals per Defensive Play,0.02107629176585862
2003,9,matchup_Opponent Free Throws Made per 100 Possessions,0.01998794728632317
2003,10,matchup_Opponent Free Throws Made per Game,0.01972673065011
2003,11,matchup_Opponent Steals per Possession,0.017831350310125085
2003,12,matchup_Assist / Turnover Ratio,0.016680284372933833
2003,13,matchup_Offensive Efficiency,0.016625862937864718
2003,14,matchup_Opponent Free Throws Attempted per Game,0.01634157642867575
2003,15,matchup_Opponent Percent of Points from Free Throws,0.015394200454623185
2004,1,matchup_Personal Fouls per Defensive Play,0.02593675795442199
2004,2,matchup_Personal Fouls per Possession,0.025592403721441098
2004,3,matchup_Personal Fouls per Game,0.02317534369974212
2004,4,matchup_Opponent Free Throw %,0.019822863281760677
2004,5,matchup_Opponent Steals per Defensive Play,0.018615188674197473
2004,6,matchup_Opponent Offensive Rebounding %,0.01689207391815425
2004,7,matchup_Opponent FTA per FGA,0.0168443468147825
2004,8,matchup_Opponent Three Point %,0.016725692282125823
2004,9,matchup_Defensive Rebounding %,0.016536899101529334
2004,10,matchup_Opponent Steals per Possession,0.0164269595142634
2004,11,matchup_Average 2nd Half Margin,0.016201516497769904
2004,12,matchup_Offensive Efficiency,0.01617716436829912
2004,13,matchup_Opponent Free Throws Attempted per Offensive Play,0.01608568219632346
2004,14,matchup_Assist / Turnover Ratio,0.01500417886862182
2004,15,matchup_Floor %,0.014554232137378859
2005,1,matchup_Personal Fouls per Defensive Play,0.024742715306001854
2005,2,matchup_Personal Fouls per Possession,0.022592973305876472
2005,3,matchup_Average 2nd Half Margin,0.018594136845395574
2005,4,matchup_Opponent Offensive Rebounding %,0.018050696604228034
2005,5,matchup_Defensive Rebounding %,0.018022999403800213
2005,6,matchup_Opponent Three Point %,0.017008065179844916
2005,7,matchup_Opponent Steals per Defensive Play,0.01635423052272784
2005,8,matchup_Personal Fouls per Game,0.01621093538092856
2005,9,matchup_Offensive Efficiency,0.01586872344299708
2005,10,matchup_Floor %,0.015798599229593036
2005,11,matchup_Opponent Offensive Rebounds per Game,0.015527997692523958
2005,12,matchup_Blocks per Game,0.015474119874444124
2005,13,matchup_Opponent Steals per Possession,0.014110047043933076
2005,14,matchup_Opponent FTA per FGA,0.014058164214359969
2005,15,matchup_Opponent Free Throw %,0.013895493003301944
2006,1,matchup_Personal Fouls per Defensive Play,0.018374715751298825
2006,2,matchup_Opponent Free Throws Attempted per Offensive Play,0.018183431777996802
2006,3,matchup_Personal Fouls per Possession,0.018065036780872734
2006,4,matchup_Average 2nd Half Margin,0.016870888412156247
2006,5,matchup_Opponent Free Throws Made per Game,0.014953243522215024
2006,6,matchup_Opponent Offensive Rebounding %,0.014683906098599635
2006,7,matchup_Opponent FTA per FGA,0.014363619063841815
2006,8,matchup_Defensive Rebounding %,0.014297820188023766
2006,9,matchup_Offensive Efficiency,0.013827258457353298
2006,10,matchup_Blocks per Game,0.01356841880411293
2006,11,matchup_Opponent Three Point %,0.013282517669567208
2006,12,matchup_Points from 2 pointers,0.013062906757837488
2006,13,matchup_Floor %,0.013009719210979697
2006,14,matchup_Personal Fouls per Game,0.013000084733872234
2006,15,matchup_Opponent Free Throws Attempted per Game,0.012646269411419376
2007,1,matchup_Floor %,0.021452745248597353
2007,2,matchup_Offensive Efficiency,0.019169188395876856
2007,3,matchup_Personal Fouls per Defensive Play,0.016968959579179974
2007,4,matchup_Personal Fouls per Possession,0.01694567175740712
2007,5,matchup_Average 2nd Half Margin,0.014835763804743694
2007,6,matchup_Opponent Offensive Rebounding %,0.014200406544111251
2007,7,matchup_Defensive Rebounding %,0.014018976152293717
2007,8,matchup_Opponent Defensive Rebounds per Game,0.013925606445923782
2007,9,matchup_Opponent Free Throws Attempted per Offensive Play,0.013831839782305918
2007,10,matchup_Opponent Free Throw %,0.013332415485520702
2007,11,matchup_Points from 2 pointers,0.013152799390351078
2007,12,matchup_Opponent FTA per FGA,0.012092547775499856
2007,13,matchup_Field Goals Made per Game,0.012044317862222913
2007,14,matchup_Opponent Three Point %,0.011818522303593539
2007,15,matchup_Personal Fouls per Game,0.011442367844766457
2008,1,matchup_Floor %,0.02168808987696955
2008,2,matchup_Offensive Efficiency,0.01963765077111653
2008,3,matchup_Personal Fouls per Defensive Play,0.01782323124032931
2008,4,matchup_Personal Fouls per Possession,0.01711426622003682
2008,5,matchup_Opponent Free Throw %,0.014494972772639019
2008,6,matchup_Average 2nd Half Margin,0.014270312442295593
2008,7,matchup_Opponent Free Throws Attempted per Offensive Play,0.014125640880277311
2008,8,matchup_Opponent Offensive Rebounding %,0.013842087358821397
2008,9,matchup_Defensive Rebounding %,0.01376368076340752
2008,10,matchup_Points from 2 pointers,0.013748062430241181
2008,11,matchup_Average Overtime Margin,0.013553853012684337
2008,12,matchup_Opponent Defensive Rebounds per Game,0.012966719310590853
2008,13,matchup_Opponent FTA per FGA,0.012886768772866878
2008,14,matchup_Opponent Three Point %,0.01235346696404552
2008,15,matchup_Field Goals Made per Game,0.012279173914394186
2009,1,matchup_Floor %,0.020296521393409143
2009,2,matchup_Offensive Efficiency,0.016750138712805826
2009,3,matchup_Personal Fouls per Defensive Play,0.015518692986154136
2009,4,matchup_Personal Fouls per Possession,0.014956226100606177
2009,5,matchup_Average 2nd Half Margin,0.014865898744614806
2009,6,matchup_Opponent Free Throws Attempted per Offensive Play,0.013693793445198823
2009,7,matchup_Extra Scoring Chances per Game,0.012467916803017348
2009,8,matchup_Opponent Offensive Rebounding %,0.012402864004297805
2009,9,matchup_Defensive Rebounding %,0.012332245096709374
2009,10,matchup_Opponent Free Throw %,0.01220007530956014
2009,11,matchup_Opponent FTA per FGA,0.012176610489425269
2009,12,matchup_Effective Possession Ratio,0.011928931129096751
2009,13,matchup_Steals per Defensive Play,0.011831996119779418
2009,14,matchup_Average Overtime Margin,0.011824137798386421
2009,15,matchup_Points from 2 pointers,0.01172820174619719
2010,1,matchup_Floor %,0.018338727342155976
2010,2,matchup_Offensive Efficiency,0.015176978462801211
2010,3,matchup_Personal Fouls per Defensive Play,0.01437602730392187
2010,4,matchup_Personal Fouls per Possession,0.014279948616079768
2010,5,matchup_Effective Possession Ratio,0.014139220568356906
2010,6,matchup_Average 2nd Half Margin,0.013013460536859702
2010,7,matchup_Extra Scoring Chances per Game,0.012971791774786684
2010,8,matchup_Assist / Turnover Ratio,0.0123743575280364
2010,9,matchup_Opponent Free Throw %,0.012373325026718554
2010,10,matchup_Defensive Rebounding %,0.01233939210786411
2010,11,matchup_Opponent Free Throws Attempted per Offensive Play,0.012318374072774847
2010,12,matchup_Opponent Offensive Rebounding %,0.012205916931866933
2010,13,matchup_Opponent Free Throws Made per Game,0.011793443725796795
2010,14,matchup_Opponent Team Rebounds per Game,0.011602072059860797
2010,15,matchup_Turnovers per Offensive Play,0.011558952261459187
2011,1,matchup_Effective Possession Ratio,0.018295420522472763
2011,2,matchup_Extra Scoring Chances per Game,0.017048903210350685
2011,3,matchup_Floor %,0.01663028785038476
2011,4,matchup_Steals per Defensive Play,0.014020719496378163
2011,5,matchup_Opponent Steals per Defensive Play,0.014002106090173843
2011,6,matchup_Steals per Possession,0.013591774934571888
2011,7,matchup_Offensive Efficiency,0.01343914519091793
2011,8,matchup_Assist / Turnover Ratio,0.013216509643962815
2011,9,matchup_Opponent Steals per Game,0.012846996794063467
2011,10,matchup_Turnovers per Offensive Play,0.012050262895533185
2011,11,matchup_Defensive Rebounding %,0.012007317520951721
2011,12,matchup_Opponent Offensive Rebounding %,0.011945630936889278
2011,13,matchup_Opponent Defensive Rebounds per Game,0.011803017567281998
2011,14,matchup_Personal Fouls per Defensive Play,0.011716534341887396
2011,15,matchup_Opponent Free Throws Attempted per Offensive Play,0.011578999765317673
2012,1,matchup_Extra Scoring Chances per Game,0.01804454696637657
2012,2,matchup_Effective Possession Ratio,0.01760709819533234
2012,3,matchup_Floor %,0.017585173978920017
2012,4,matchup_Opponent Steals per Defensive Play,0.013762123873250064
2012,5,matchup_Offensive Efficiency,0.013661717484553458
2012,6,matchup_Opponent Free Throws Attempted per Offensive Play,0.013220161479459423
2012,7,matchup_Opponent Free Throws Attempted per Game,0.013187802791078979
2012,8,matchup_Assist / Turnover Ratio,0.01279001337430419
2012,9,matchup_Opponent Steals per Game,0.01276299725382588
2012,10,matchup_Opponent Defensive Rebounds per Game,0.01210861197689995
2012,11,matchup_Steals per Defensive Play,0.012086323785295165
2012,12,matchup_Personal Fouls per Defensive Play,0.012071081849098943
2012,13,matchup_Opponent Free Throws Made per Game,0.012029205630627473
2012,14,matchup_Opponent Offensive Rebounds per Game,0.01183590755953304
2012,15,matchup_Personal Fouls per Possession,0.011759177465919509
2013,1,matchup_Extra Scoring Chances per Game,0.01861100023798877
2013,2,matchup_Effective Possession Ratio,0.01608860680621179
2013,3,matchup_Steals per Defensive Play,0.014321207612151523
2013,4,matchup_Opponent Floor %,0.013467228982692557
2013,5,matchup_Opponent Three Point %,0.013325413067308722
2013,6,matchup_Steals per Possession,0.013241704244536634
2013,7,matchup_Assist / Turnover Ratio,0.01245115573145455
2013,8,matchup_Opponent Free Throws Attempted per Game,0.011752622578092299
2013,9,matchup_Opponent Steals per Defensive Play,0.011530921368639232
2013,10,matchup_Opponent Team Rebounds per Game,0.011497651013488737
2013,11,matchup_Defensive Efficiency,0.011463167005425191
2013,12,matchup_Floor %,0.011442570450353838
2013,13,matchup_Opponent Free Throws Made per Game,0.011179065690155492
2013,14,matchup_Opponent Free Throws Attempted per Offensive Play,0.011133159483672295
2013,15,matchup_Personal Fouls per Possession,0.010892287370840732
2014,1,matchup_Extra Scoring Chances per Game,0.016116834995667403
2014,2,matchup_Effective Possession Ratio,0.015294898889075112
2014,3,matchup_Personal Fouls per Possession,0.015081981774038909
