season,n_games,actual_upsets,predicted_upsets,correct_upset_picks,upset_recall,upset_precision,accuracy,roc_auc,brier_score,threshold_used,hits_top_3,hit_rate_top_3,hits_top_5,hit_rate_top_5,features_used
2002,16,1,2,1,1.0,0.5,0.9375,0.9333333333333333,0.05216003935963581,0.15,1,1.0,1,1.0,"matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Assist / Turnover Ratio, matchup_Floor %, matchup_Offensive Efficiency, matchup_Opponent Steals per Defensive Play, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Offensive Rebounding %, matchup_Turnovers per Offensive Play, matchup_Opponent FTA per FGA, matchup_Defensive Rebounding %, matchup_Opponent Percent of Points from Free Throws, matchup_Opponent Steals per Possession, matchup_Opponent Free Throws Made per 100 Possessions, matchup_Personal Fouls per Game"
2003,16,1,3,0,0.0,0.0,0.75,0.19999999999999996,0.07633705516304429,0.15,0,0.0,0,0.0,"matchup_Personal Fouls per Game, matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Opponent Offensive Rebounding %, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Defensive Rebounding %, matchup_Opponent FTA per FGA, matchup_Opponent Steals per Defensive Play, matchup_Opponent Free Throws Made per 100 Possessions, matchup_Opponent Free Throws Made per Game, matchup_Opponent Steals per Possession, matchup_Assist / Turnover Ratio, matchup_Offensive Efficiency, matchup_Opponent Free Throws Attempted per Game, matchup_Opponent Percent of Points from Free Throws"
2004,16,0,6,0,,0.0,0.625,,0.029936567033215032,0.15,0,,0,,"matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Personal Fouls per Game, matchup_Opponent Free Throw %, matchup_Opponent Steals per Defensive Play, matchup_Opponent Offensive Rebounding %, matchup_Opponent FTA per FGA, matchup_Opponent Three Point %, matchup_Defensive Rebounding %, matchup_Opponent Steals per Possession, matchup_Average 2nd Half Margin, matchup_Offensive Efficiency, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Assist / Turnover Ratio, matchup_Floor %"
2005,16,2,0,0,0.0,,0.875,0.35714285714285715,0.12251261497228882,0.35,0,0.0,0,0.0,"matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Average 2nd Half Margin, matchup_Opponent Offensive Rebounding %, matchup_Defensive Rebounding %, matchup_Opponent Three Point %, matchup_Opponent Steals per Defensive Play, matchup_Personal Fouls per Game, matchup_Offensive Efficiency, matchup_Floor %, matchup_Opponent Offensive Rebounds per Game, matchup_Blocks per Game, matchup_Opponent Steals per Possession, matchup_Opponent FTA per FGA, matchup_Opponent Free Throw %"
2006,16,2,0,0,0.0,,0.875,0.6071428571428572,0.11710443692892925,0.4,1,0.5,1,0.5,"matchup_Personal Fouls per Defensive Play, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Personal Fouls per Possession, matchup_Average 2nd Half Margin, matchup_Opponent Free Throws Made per Game, matchup_Opponent Offensive Rebounding %, matchup_Opponent FTA per FGA, matchup_Defensive Rebounding %, matchup_Offensive Efficiency, matchup_Blocks per Game, matchup_Opponent Three Point %, matchup_Points from 2 pointers, matchup_Floor %, matchup_Personal Fouls per Game, matchup_Opponent Free Throws Attempted per Game"
2007,16,0,0,0,,,1.0,,0.0058891607898649105,0.15,0,,0,,"matchup_Floor %, matchup_Offensive Efficiency, matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Average 2nd Half Margin, matchup_Opponent Offensive Rebounding %, matchup_Defensive Rebounding %, matchup_Opponent Defensive Rebounds per Game, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Free Throw %, matchup_Points from 2 pointers, matchup_Opponent FTA per FGA, matchup_Field Goals Made per Game, matchup_Opponent Three Point %, matchup_Personal Fouls per Game"
2008,16,2,0,0,0.0,,0.875,0.5357142857142858,0.11477672885625743,0.2,1,0.5,1,0.5,"matchup_Floor %, matchup_Offensive Efficiency, matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Opponent Free Throw %, matchup_Average 2nd Half Margin, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Offensive Rebounding %, matchup_Defensive Rebounding %, matchup_Points from 2 pointers, matchup_Average Overtime Margin, matchup_Opponent Defensive Rebounds per Game, matchup_Opponent FTA per FGA, matchup_Opponent Three Point %, matchup_Field Goals Made per Game"
2009,16,1,0,0,0.0,,0.9375,0.4,0.06162487799210962,0.2,0,0.0,0,0.0,"matchup_Floor %, matchup_Offensive Efficiency, matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Average 2nd Half Margin, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Extra Scoring Chances per Game, matchup_Opponent Offensive Rebounding %, matchup_Defensive Rebounding %, matchup_Opponent Free Throw %, matchup_Opponent FTA per FGA, matchup_Effective Possession Ratio, matchup_Steals per Defensive Play, matchup_Average Overtime Margin, matchup_Points from 2 pointers"
2010,16,2,3,1,0.5,0.3333333333333333,0.8125,0.8928571428571429,0.09634334933269491,0.15,1,0.5,2,1.0,"matchup_Floor %, matchup_Offensive Efficiency, matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Effective Possession Ratio, matchup_Average 2nd Half Margin, matchup_Extra Scoring Chances per Game, matchup_Assist / Turnover Ratio, matchup_Opponent Free Throw %, matchup_Defensive Rebounding %, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Offensive Rebounding %, matchup_Opponent Free Throws Made per Game, matchup_Opponent Team Rebounds per Game, matchup_Turnovers per Offensive Play"
2011,16,1,0,0,0.0,,0.9375,0.6,0.058250732418729446,0.15,0,0.0,0,0.0,"matchup_Effective Possession Ratio, matchup_Extra Scoring Chances per Game, matchup_Floor %, matchup_Steals per Defensive Play, matchup_Opponent Steals per Defensive Play, matchup_Steals per Possession, matchup_Offensive Efficiency, matchup_Assist / Turnover Ratio, matchup_Opponent Steals per Game, matchup_Turnovers per Offensive Play, matchup_Defensive Rebounding %, matchup_Opponent Offensive Rebounding %, matchup_Opponent Defensive Rebounds per Game, matchup_Personal Fouls per Defensive Play, matchup_Opponent Free Throws Attempted per Offensive Play"
2012,16,3,5,0,0.0,0.0,0.5,0.3589743589743589,0.18041320697913854,0.15,0,0.0,0,0.0,"matchup_Extra Scoring Chances per Game, matchup_Effective Possession Ratio, matchup_Floor %, matchup_Opponent Steals per Defensive Play, matchup_Offensive Efficiency, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Free Throws Attempted per Game, matchup_Assist / Turnover Ratio, matchup_Opponent Steals per Game, matchup_Opponent Defensive Rebounds per Game, matchup_Steals per Defensive Play, matchup_Personal Fouls per Defensive Play, matchup_Opponent Free Throws Made per Game, matchup_Opponent Offensive Rebounds per Game, matchup_Personal Fouls per Possession"
2013,16,3,2,1,0.3333333333333333,0.5,0.8125,0.7948717948717949,0.1519585987276767,0.15,1,0.3333333333333333,2,0.6666666666666666,"matchup_Extra Scoring Chances per Game, matchup_Effective Possession Ratio, matchup_Steals per Defensive Play, matchup_Opponent Floor %, matchup_Opponent Three Point %, matchup_Steals per Possession, matchup_Assist / Turnover Ratio, matchup_Opponent Free Throws Attempted per Game, matchup_Opponent Steals per Defensive Play, matchup_Opponent Team Rebounds per Game, matchup_Defensive Efficiency, matchup_Floor %, matchup_Opponent Free Throws Made per Game, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Personal Fouls per Possession"
2014,16,1,4,0,0.0,0.0,0.6875,0.6666666666666667,0.0640711875111511,0.15,0,0.0,0,0.0,"matchup_Extra Scoring Chances per Game, matchup_Effective Possession Ratio, matchup_Personal Fouls per Possession, matchup_Steals per Defensive Play, matchup_Personal Fouls per Defensive Play, matchup_Steals per Possession, matchup_Opponent Three Point %, matchup_Opponent Floor %, matchup_Floor %, matchup_Opponent Free Throws Attempted per Game, matchup_Opponent Free Throws Made per Game, matchup_Opponent Defensive Rebounds per Game, matchup_Personal Fouls per Game, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Defensive Efficiency"
2015,16,2,2,0,0.0,0.0,0.75,0.5357142857142857,0.12396681965723716,0.15,0,0.0,0,0.0,"matchup_Personal Fouls per Possession, matchup_Opponent Floor %, matchup_Effective Possession Ratio, matchup_Personal Fouls per Defensive Play, matchup_Extra Scoring Chances per Game, matchup_Opponent Three Point %, matchup_Steals per Defensive Play, matchup_Floor %, matchup_Steals per Possession, matchup_Opponent Team Rebounds per Game, matchup_Opponent Free Throws Attempted per Game, matchup_Personal Fouls per Game, matchup_Defensive Efficiency, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Free Throws Made per Game"
